Participant ID,Inoltre,i,proprietari,hanno,dei,poteri,di,godimento,e,disposizione,talmente
Sofiiiiiii <3,589,544,679,529,614,633,682,601,594,617,539
giulia,919,440,1910,560,670,1651,489,1330,510,840,700
Rahel,505,333,378,411,502,542,430,558,388,648,402
Enrico,400,433,415,377,415,464,464,440,451,517,512
Michela,386,487,374,472,433,406,432,481,642,1121,593
Stefano,705,468,553,544,443,492,2190,749,491,605,996
Enrica,365,357,156,395,328,331,397,325,372,557,412
Mil,488,504,744,664,2520,544,480,728,584,840,1152
mazzone trifone,1030,899,2760,959,641,692,547,707,1923,1100,997
lucrezia,2843,854,1063,1144,935,1053,874,1130,905,1113,1126
Xenia,557,440,650,529,550,534,433,642,830,1437,1194
Nicola,419,473,541,419,374,398,361,840,382,745,537
amanda,415,423,504,448,383,549,361,564,414,580,614
L.,382,398,387,516,390,496,381,462,340,393,435
Amandine,794,546,1262,761,3289,221,860,692,442,764,1729
Francesco,495,339,413,189,394,191,183,206,383,318,708
Antonella,752,548,640,680,558,733,622,939,652,862,591
letizia,854,465,1019,1087,421,807,469,672,396,689,516
Cloe,863,586,683,687,653,740,645,646,439,675,1205
Average,724.2631578947369,501.94736842105266,796.3684210526316,598.4736842105264,763.8421052631579,604.0526315789474,594.7368421052631,669.0526315789474,586.2105263157895,759.0,787.2631578947369
Min,365,333,156,189,328,191,183,206,340,318,402
Max,2843,899,2760,1144,3289,1651,2190,1330,1923,1437,1729
