Participant ID,Nelle,squadre,nazionali,giocano,i,giocatori,di,calcio,più
Sofiiiiiii <3,477,506,603,597,403,590,448,575,412
giulia,449,711,850,950,541,569,550,769,530
Giada ,716,784,650,850,801,900,784,817,
Gina,434,328,391,555,396,332,460,397,414
giorgia,437,524,428,480,470,433,412,451,408
Maria,257,235,182,183,230,209,194,191,362
Nicola,426,428,412,406,405,390,384,411,421
Gaia,623,569,472,471,513,470,418,450,469
letizia,678,528,586,777,518,488,478,610,459
Lea,476,599,711,618,694,889,659,450,700
Clarissa,451,618,661,682,1021,1433,699,691,604
Cloe,571,981,673,671,432,616,418,371,398
Average,499.5833333333333,567.5833333333334,551.5833333333334,603.3333333333334,535.3333333333334,609.9166666666666,492.0,515.25,470.6363636363636
Min,257.0,235.0,182.0,183.0,230.0,209.0,194.0,191.0,362.0
Max,716.0,981.0,850.0,950.0,1021.0,1433.0,784.0,817.0,700.0
