Participant ID,Chi,ha,l'uso,di,un,fondo,e,ne,raccoglie,tutti,i,frutti,o,chi,ha.1,il,diritto,di.1,abitazione,e.1,Selected target
Sofiiiiiii <3,607,507,666,534,561,509,526,578,537,497,462,588,476,544,575,569,555,510,645,571,occupa
giulia,429,410,620,590,700,770,770,670,2150,660,481,619,480,460,470,480,480,400,510,590,occupa
Giada ,716,867,700,752,683,651,700,784,700,735,684,734,734,699,769,850,801,733,885,,occupa
Gina,452,296,375,639,416,371,428,461,347,414,354,406,374,386,380,365,375,337,428,490,occupa
giorgia,492,529,702,460,426,444,450,512,512,517,454,473,476,462,463,502,446,415,510,410,occupa
Maria,292,208,206,230,204,180,233,200,4407,183,204,183,192,180,185,190,187,210,243,314,occupano
Nicola,472,466,407,530,496,458,426,419,495,376,458,434,398,404,391,569,519,377,589,421,occupa
Gaia,467,517,488,1070,413,368,389,401,466,444,499,434,515,433,470,461,448,435,437,579,occupa
letizia,631,569,663,407,448,473,472,417,505,461,427,456,442,1091,448,555,509,415,481,403,occupa
Lea,492,492,446,390,447,425,682,387,447,455,403,416,386,426,415,497,628,484,575,500,occupa
Clarissa,402,461,540,758,1056,725,641,778,712,554,439,445,507,555,519,517,527,432,492,493,occupa
Cloe,440,472,891,421,511,451,578,362,644,492,554,555,658,581,648,623,713,589,843,440,occupa
Average,491.0,482.8333333333333,558.6666666666666,565.0833333333334,530.0833333333334,485.4166666666667,524.5833333333334,497.4166666666667,993.5,482.3333333333333,451.5833333333333,478.5833333333333,469.8333333333333,518.4166666666666,477.75,514.8333333333334,515.6666666666666,444.75,553.1666666666666,473.72727272727275,
Min,292.0,208.0,206.0,230.0,204.0,180.0,233.0,200.0,347.0,183.0,204.0,183.0,192.0,180.0,185.0,190.0,187.0,210.0,243.0,314.0,
Max,716.0,867.0,891.0,1070.0,1056.0,770.0,770.0,784.0,4407.0,735.0,684.0,734.0,734.0,1091.0,769.0,850.0,801.0,733.0,885.0,590.0,
