Participant ID,Il,"rapporto,",un,lavoro,di,trecento,pagine,Selected target
Sofiiiiiii <3,492,577,609,623,617,692,637,pubblicato
giulia,370,340,710,740,510,1080,590,pubblicato
Giada ,681,668,784,784,784,817,,pubblicato
Gina,345,373,488,364,403,381,412,pubblicato
giorgia,397,615,445,457,465,530,445,pubblicato
Maria,227,235,244,369,265,295,326,pubblicato
Nicola,441,597,589,530,431,509,480,pubblicato
Gaia,405,508,418,518,471,1160,643,pubblicato
letizia,452,508,415,494,453,481,726,pubblicati
Lea,457,730,521,663,503,516,514,pubblicato
Clarissa,1366,620,541,2052,565,619,487,pubblicato
Cloe,622,807,736,986,810,794,984,pubblicato
Average,521.25,548.1666666666666,541.6666666666666,715.0,523.0833333333334,656.1666666666666,567.6363636363636,
Min,227.0,235.0,244.0,364.0,265.0,295.0,326.0,
Max,1366.0,807.0,784.0,2052.0,810.0,1160.0,984.0,
