Participant ID,La,legge,"siciliana,",che,Selected target
Sofiiiiiii <3,478,584,595,503,risale
giulia,460,520,870,430,risale
Giada ,733,800,784,,risale
Gina,326,276,355,446,risale
giorgia,421,438,404,484,risale
Maria,234,228,206,180,risale
Nicola,592,443,592,389,risale
Gaia,386,470,492,469,risale
letizia,558,454,596,435,risale
Lea,544,707,751,833,risale
Clarissa,446,578,859,642,risale
Cloe,350,539,697,348,risale
Average,460.6666666666667,503.0833333333333,600.0833333333334,469.0,
Min,234.0,228.0,206.0,180.0,
Max,733.0,800.0,870.0,833.0,
