Participant ID,Le,economiche,dichiarazioni,apparentemente,a,comando,del,salto,Selected target
Sofiiiiiii <3,551,755,584,1838,498,603,447,629,concesse
giulia,460,2290,1240,1830,1440,930,410,610,concesse
Rahel,596,12374,473,939,1316,556,20159,491,concessa
Enrico,342,345,464,553,495,512,535,626,concesse
Michela,418,327,521,597,511,482,354,425,concesse
Stefano,424,405,666,689,610,955,546,442,concesse
Enrica,270,218,384,1702,358,402,354,314,concesse
Mil,384,624,752,1024,745,663,465,703,concesse
mazzone trifone,1513,1683,1052,5015,1409,938,734,1752,concesse
lucrezia,507,1475,969,985,983,911,541,835,concesse
Xenia,303,679,684,438,468,460,382,331,concesse
Nicola,488,908,546,557,419,570,330,428,concesse
amanda,401,604,606,1183,426,605,399,327,concesse
L.,428,619,727,1584,422,656,411,434,concesse
Amandine,542,714,5669,1455,610,931,783,1436,concesse
Francesco,378,402,404,721,392,396,340,593,concesse
Antonella,494,760,1256,904,905,768,527,643,concesse
letizia,510,1689,1220,1204,570,657,469,459,concesse
Cloe,451,878,821,976,864,739,452,426,concesse
Average,497.89473684210526,1460.4736842105262,1002.0,1273.3684210526317,707.421052631579,670.2105263157895,1507.2631578947369,626.5263157894736,
Min,270,218,384,438,358,396,330,314,
Max,1513,12374,5669,5015,1440,955,20159,1752,
