Participant ID,L'opuscolo,che,Studer,riapre,di,ritratti,"precari,",che.1,Selected target
Sofiiiiiii <3,592,476,1027,508,544,766,930,550,aggiunge
giulia,1830,490,1850,1630,671,1429,2200,520,aggiungono
Rahel,474,400,476,463,415,1982,734,550,aggiunge
Enrico,352,407,369,432,456,472,465,615,aggiungono
Michela,1287,460,851,575,576,1435,1035,817,aggiunge
Stefano,336,339,359,350,350,330,379,458,aggiungono
Enrica,348,816,331,615,384,357,576,301,aggiunge
Mil,769,584,864,848,583,905,927,824,aggiunge
mazzone trifone,1591,536,453,1118,999,891,1170,1544,aggiunge
lucrezia,1622,972,1880,1269,709,1513,1179,1529,aggiunge
Xenia,645,487,556,497,424,660,867,434,aggiungono
Nicola,450,735,375,765,417,656,615,331,aggiungono
amanda,837,435,823,1834,449,836,1412,705,aggiungono
L.,508,435,646,400,436,1175,640,456,aggiunge
Amandine,1281,872,861,1182,897,932,1060,841,aggiunge
Francesco,327,348,687,371,383,490,393,315,aggiungono
Antonella,920,477,1324,745,522,784,896,117,aggiunge
letizia,937,708,780,765,486,720,657,432,aggiungono
Cloe,931,587,1020,758,726,1110,898,699,aggiungono
Average,844.0526315789474,556.0,817.4736842105264,796.0526315789474,548.7894736842105,918.0526315789474,896.4736842105264,633.578947368421,
Min,327,339,331,350,350,330,379,117,
Max,1830,972,1880,1834,999,1982,2200,1544,
