Participant ID,Nel,scandalo,"dell'Alaska,",si,riferisce,assolutamente,di,un,palcoscenico,geneticamente,"costituzionale,",che,Selected target
Sofiiiiiii <3,559,958,817,567,722,852,685,419,802,794,974,615,sussiste
giulia,830,2722,929,519,1070,1121,460,719,2100,971,1149,511,sussiste
Giada ,683,683,1802,850,701,849,770,816,1001,1068,1218,,sussiste
Gina,449,296,1044,476,359,412,556,422,324,590,703,544,sussiste
giorgia,405,474,1683,592,1029,1059,495,571,803,689,1005,849,sussiste
Maria,342,222,216,205,229,206,200,212,213,531,434,925,sussiste
Nicola,764,497,820,393,563,525,405,547,683,630,554,624,sussiste
Gaia,450,1310,606,561,564,997,742,723,1432,624,988,657,sussiste
letizia,592,1947,1094,526,582,573,504,447,731,696,1254,573,sussiste
Lea,963,1545,872,685,561,676,553,424,1444,1517,868,668,sussiste
Clarissa,633,1385,814,565,553,733,579,527,768,714,772,588,sussiste
Cloe,458,1619,1000,430,401,663,570,489,449,1058,697,416,sussiste
Average,594.0,1138.1666666666667,974.75,530.75,611.1666666666666,722.1666666666666,543.25,526.3333333333334,895.8333333333334,823.5,884.6666666666666,633.6363636363636,
Min,342.0,222.0,216.0,205.0,229.0,206.0,200.0,212.0,213.0,531.0,434.0,416.0,
Max,963.0,2722.0,1802.0,850.0,1070.0,1121.0,770.0,816.0,2100.0,1517.0,1254.0,925.0,
