Participant ID,Se,indiscriminatamente,i,divani,sono,"privi,",compriamo,in,profumeria,e
Sofiiiiiii <3,444,2061,461,621,536,488,605,742,686,550
giulia,609,2800,670,1050,520,1740,3090,510,1130,470
Giada ,782,1101,784,768,799,783,1169,750,934,
Gina,601,374,374,289,312,287,269,516,264,454
giorgia,825,1462,474,478,411,524,508,455,518,520
Maria,294,240,285,265,238,243,237,370,309,476
Nicola,860,1563,370,568,420,442,891,391,533,504
Gaia,374,1125,510,457,456,487,583,451,795,555
letizia,525,1938,483,493,447,498,1059,539,974,428
Lea,975,1238,735,602,463,490,1438,501,707,627
Clarissa,423,4151,608,470,460,429,796,499,531,438
Cloe,555,2022,538,769,483,831,1082,567,756,553
Average,605.5833333333334,1672.9166666666667,524.3333333333334,569.1666666666666,462.0833333333333,603.5,977.25,524.25,678.0833333333334,506.8181818181818
Min,294.0,240.0,285.0,265.0,238.0,243.0,237.0,370.0,264.0,428.0
Max,975.0,4151.0,784.0,1050.0,799.0,1740.0,3090.0,750.0,1130.0,627.0
