Participant ID,Uno,sta,evidenziato,a,una,rivoluzione,e
Sofiiiiiii <3,529,791,1730,523,672,686,508
giulia,430,910,1360,1180,1230,780,340
Rahel,455,298,366,764,443,859,423
Enrico,382,538,449,567,455,497,504
Michela,327,371,791,626,432,814,483
Stefano,296,416,366,591,491,665,504
Enrica,198,230,255,460,307,331,335
Mil,560,584,1528,568,608,1544,712
mazzone trifone,3000,2251,7994,926,1258,1705,1575
lucrezia,662,666,1093,1015,449,919,477
Xenia,499,501,862,483,488,890,646
Nicola,523,450,781,427,458,615,679
amanda,442,364,574,1163,400,499,387
L.,954,364,420,540,410,417,403
Amandine,784,815,1630,803,739,1123,794
Francesco,265,340,234,627,443,466,408
Antonella,531,348,723,1111,597,1358,692
letizia,940,746,1119,517,409,657,419
Cloe,462,615,628,567,570,577,316
Average,644.1578947368421,610.421052631579,1205.421052631579,708.3157894736842,571.5263157894736,810.6315789473684,558.1578947368421
Min,198,230,234,427,307,331,316
Max,3000,2251,7994,1180,1258,1705,1575
